"id","main","width","height","sourcepath","createddate","updateddate","oid","bbqdefid","otype","filesize","id","publicationid"
1455018742653473,1,510,260,"/data/content/video/landmark/broadcast/2016/02/09/1455018736829475.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2591119,255,"asset",33950,2591119,272
1455016602097565,1,1920,1080,"/data/content/video/landmark/broadcast/2016/02/09/1455015446695418/1455015446695418_64.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2591090,255,"asset",82204,2591090,272
1454966141052864,1,1334,750,"/data/content/video/landmark/broadcast/2016/02/08/1454965715997367.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2590989,255,"asset",178357,2590989,272
1454933589198002,1,1334,750,"/data/content/video/landmark/broadcast/2016/02/08/1454933375312129.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2590649,255,"asset",102298,2590649,272
1454874053130284,1,1334,750,"/data/content/video/landmark/broadcast/2016/02/07/1454874039826605.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2590620,255,"asset",169087,2590620,272
1454873590805146,1,1334,750,"/data/content/video/landmark/broadcast/2016/02/07/1454873512700052.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2590618,255,"asset",179265,2590618,272
1454872786873164,1,1334,750,"/data/content/video/landmark/broadcast/2016/02/07/1454872613652964.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2590614,255,"asset",89831,2590614,272
1454872761305875,1,600,325,"/data/content/video/landmark/broadcast/2016/02/07/1454872746153122.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2590611,255,"asset",59131,2590611,272
1454872414911539,1,1334,750,"/data/content/video/landmark/broadcast/2016/02/07/1454872320137168.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2590610,255,"asset",174803,2590610,272
1454871343022464,1,1334,750,"/data/content/video/landmark/broadcast/2016/02/07/1454871322907871.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2590608,255,"asset",102298,2590608,272
1454864487253355,1,1920,1080,"/data/content/video/landmark/broadcast/2016/02/07/1454864451143215/1454864451143215_62.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2590579,255,"asset",80672,2590579,272
1454714534111648,1,1920,1080,"/data/content/video/landmark/broadcast/2016/02/06/1454714164866567/1454714164866567_28.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2590223,255,"asset",92772,2590223,272
1454707204150888,1,1920,1080,"/data/content/video/landmark/broadcast/2016/02/05/1454706972568377/1454706972568377_138.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2590202,255,"asset",164968,2590202,272
1454696437164092,1,1920,1080,"/data/content/video/landmark/broadcast/2016/02/05/1454696089324127/1454696089324127_158.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2590176,255,"asset",87821,2590176,272
1454691559960251,1,300,160,"/data/content/video/landmark/broadcast/2016/02/05/1454691482814318.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2590116,255,"asset",24682,2590116,272
1454682749457040,1,1920,1080,"/data/content/video/landmark/broadcast/2016/02/05/1454681214649027/1454681214649027_270.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2589959,255,"asset",57604,2589959,272
